symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SH2_0pt5mM_A	Gcn1_SH2_0pt5mM_B
ENSMUSG00000031848.15|Lsm4	1260	1526	1258	1266
ENSMUSG00000031851.14|Ntpcr	129	120	43	48
ENSMUSG00000031858.16|Mau2	1610	1666	1399	1583
ENSMUSG00000031860.17|Pbx4	28	40	33	30
ENSMUSG00000031861.15|Lpar2	406	484	377	398
ENSMUSG00000031862.10|Atp13a1	2039	2029	1910	2055
ENSMUSG00000031864.16|Ints10	571	750	517	549
ENSMUSG00000031865.16|Dctn1	3014	3359	3213	3570
ENSMUSG00000031875.7|Cmtm3	651	709	318	356
ENSMUSG00000031877.9|Ces2g	320	373	385	479
ENSMUSG00000031878.18|Nae1	2210	2615	1770	1891
ENSMUSG00000031879.14|Ciao2b	947	977	870	830
ENSMUSG00000031880.7|Rrad	107	151	125	141
ENSMUSG00000031881.6|Cdh16	59	82	90	120
ENSMUSG00000031883.13|Car7	34	45	25	33
ENSMUSG00000031885.14|Cbfb	2426	2800	2256	2450
ENSMUSG00000031887.13|Tradd	168	233	170	212
ENSMUSG00000031889.9|D230025D16Rik	533	583	502	483
ENSMUSG00000031897.9|Psmb10	409	402	663	770
ENSMUSG00000031901.12|Dus2	357	396	341	348
ENSMUSG00000031902.10|Nfatc3	2848	3006	2552	2803
ENSMUSG00000031903.7|Pla2g15	481	505	424	480
ENSMUSG00000031904.5|Slc7a6	2671	2913	2750	2845
ENSMUSG00000031906.9|Smpd3	1063	1141	1980	2339
ENSMUSG00000031907.9|Zfp90	308	373	239	269
ENSMUSG00000031910.14|Has3	62	51	44	66
ENSMUSG00000031913.9|Vps4a	630	789	588	713
ENSMUSG00000031916.17|Cog8	622	918	703	757
ENSMUSG00000031917.12|Nip7	1728	1736	1750	1737
ENSMUSG00000031918.16|Mtmr2	2294	2594	1725	1828
ENSMUSG00000031921.17|Terf2	816	934	825	846
ENSMUSG00000031922.12|Cep57	1325	1644	990	1188
ENSMUSG00000031924.4|Cyb5b	10481	11933	12141	12572
ENSMUSG00000031925.17|Maml2	1393	1525	1463	1509
ENSMUSG00000031928.15|Mre11a	1209	1384	934	1056
ENSMUSG00000031930.11|Wwp2	1133	1134	926	1018
ENSMUSG00000031931.4|Ankrd49	381	464	333	381
ENSMUSG00000031934.14|Panx1	242	254	193	234
ENSMUSG00000031935.9|Med17	894	1101	979	1022
ENSMUSG00000031937.7|Vstm5	378	430	234	220
ENSMUSG00000031938.15|4931406C07Rik	799	939	898	1032
ENSMUSG00000031939.16|Taf1d	1993	2538	2145	2317
ENSMUSG00000031948.14|Kars	4161	4399	3473	3793
ENSMUSG00000031949.17|Adat1	383	403	338	392
ENSMUSG00000031950.7|Gabarapl2	2031	2325	2356	2582
ENSMUSG00000031951.8|Tmem231	100	109	106	123
ENSMUSG00000031953.2|Tmem170	388	450	353	297
ENSMUSG00000031954.6|Cfdp1	2544	2739	2519	2748
ENSMUSG00000031955.10|Bcar1	2062	2125	1898	1996
ENSMUSG00000031958.16|Ldhd	287	262	232	276
ENSMUSG00000031959.15|Wdr59	846	926	724	796
ENSMUSG00000031960.14|Aars	12463	12725	8269	8932
ENSMUSG00000031963.8|Bmper	333	341	305	325
ENSMUSG00000031967.15|Afg3l1	1315	1497	1209	1290
ENSMUSG00000031969.16|Acad8	310	356	318	347
ENSMUSG00000031971.15|Ccsap	55	69	46	47
ENSMUSG00000031974.8|Abcb10	400	427	409	425
ENSMUSG00000031976.14|Urb2	1631	1806	1612	1624
ENSMUSG00000031979.17|Cog2	783	802	674	693
ENSMUSG00000031980.9|Agt	48	43	199	262
ENSMUSG00000031982.5|Arv1	190	240	195	219
ENSMUSG00000031983.7|2310022B05Rik	997	1020	942	1098
ENSMUSG00000031984.8|2810004N23Rik	1877	1955	1452	1560
ENSMUSG00000031985.9|Gnpat	877	988	1167	1248
ENSMUSG00000031986.6|Sprtn	946	1108	988	1040
ENSMUSG00000031987.6|Egln1	1303	1441	1103	1264
ENSMUSG00000031988.10|Vps26b	893	1036	642	739
ENSMUSG00000031993.7|Snx19	869	967	883	1008
ENSMUSG00000031996.17|Aplp2	7250	7964	11327	13132
ENSMUSG00000032000.17|Birc3	989	1048	1545	1724
ENSMUSG00000032002.10|Dcun1d5	1003	1131	939	1076
ENSMUSG00000032009.8|Sesn3	1218	1314	1282	1472
ENSMUSG00000032014.6|Oaf	414	414	139	158
ENSMUSG00000032018.14|Sc5d	1477	1734	1125	1221
ENSMUSG00000032020.15|Ubash3b	75	100	20	21
ENSMUSG00000032024.10|Clmp	46	80	8	23
ENSMUSG00000032026.7|Rexo2	1417	1642	946	1025
ENSMUSG00000032030.16|Cul5	1821	2212	1328	1412
ENSMUSG00000032033.11|Barx2	151	139	571	554
ENSMUSG00000032035.15|Ets1	1857	2018	1502	1593
ENSMUSG00000032036.15|Kirrel3	450	473	154	210
ENSMUSG00000032038.7|St3gal4	1393	1676	1337	1480
ENSMUSG00000032040.15|Dcps	693	716	575	665
ENSMUSG00000032041.15|Tirap	636	750	578	639
ENSMUSG00000032042.11|Srpr	3851	4078	4472	4494
ENSMUSG00000032044.4|Rpusd4	775	803	648	774
ENSMUSG00000032046.15|Abhd12	1099	1249	1118	1162
ENSMUSG00000032047.5|Acat1	885	971	537	604
ENSMUSG00000032050.17|Rdx	3343	3747	3619	3686
ENSMUSG00000032051.9|Fdx1	390	476	386	433
ENSMUSG00000032058.14|Ppp2r1b	1265	1331	1785	1700
ENSMUSG00000032059.13|Alg9	572	645	629	669
ENSMUSG00000032060.10|Cryab	87	83	69	67
ENSMUSG00000032062.2|2310030G06Rik	166	160	166	163
ENSMUSG00000032064.17|Dixdc1	111	115	193	186
ENSMUSG00000032067.6|Pts	481	598	506	636
ENSMUSG00000032068.14|Plet1	365	316	785	936
ENSMUSG00000032076.19|Cadm1	1581	1702	1487	1672
ENSMUSG00000032077.5|Bud13	315	303	295	298
ENSMUSG00000032078.17|Zpr1	1201	1327	1018	1111
ENSMUSG00000032086.12|Bace1	2131	2338	1539	1709
ENSMUSG00000032091.15|Tmprss4	6	9	30	44
ENSMUSG00000032092.5|Mpzl2	472	572	398	499
ENSMUSG00000032096.16|Arcn1	6094	6964	6148	6544
ENSMUSG00000032097.10|Ddx6	7199	8175	8435	8732
ENSMUSG00000032103.10|Pus3	645	735	626	688
ENSMUSG00000032109.15|Nlrx1	50	50	8	11
ENSMUSG00000032112.10|Trappc4	1243	1269	989	1028
ENSMUSG00000032113.16|Chek1	835	1014	804	858
ENSMUSG00000032114.9|Slc37a4	367	443	277	350
ENSMUSG00000032115.14|Hyou1	5783	5794	6659	6445
ENSMUSG00000032116.18|Stt3a	7509	8215	6908	6820
ENSMUSG00000032119.5|Hinfp	784	934	827	854
ENSMUSG00000032120.11|C2cd2l	405	444	630	573
ENSMUSG00000032121.9|Tmem218	30	40	0	0
ENSMUSG00000032123.5|Dpagt1	666	703	549	644
ENSMUSG00000032126.16|Hmbs	774	830	582	645
ENSMUSG00000032127.9|Vps11	1100	1210	833	971
ENSMUSG00000032135.15|Mcam	57	57	64	45
ENSMUSG00000032171.7|Pin1	1408	1649	1395	1462
ENSMUSG00000032175.11|Tyk2	861	916	710	830
ENSMUSG00000032177.17|Pde4a	445	462	283	382
ENSMUSG00000032178.14|Ilf3	4238	4682	3536	3833
ENSMUSG00000032180.11|Tmed1	384	444	562	561
ENSMUSG00000032182.15|Yipf2	565	544	476	564
ENSMUSG00000032184.5|Lysmd2	96	135	97	159
ENSMUSG00000032185.15|Carm1	2200	2353	2249	2381
ENSMUSG00000032187.16|Smarca4	3536	3732	2977	3378
ENSMUSG00000032192.9|Gnb5	50	67	17	22
ENSMUSG00000032193.9|Ldlr	1999	2069	2730	3117
ENSMUSG00000032194.9|Kank2	1436	1583	1309	1464
ENSMUSG00000032198.9|Dock6	406	408	335	371
ENSMUSG00000032199.13|Polr2m	4296	4784	3941	4068
ENSMUSG00000032202.11|Rab27a	232	241	329	498
ENSMUSG00000032204.13|Aqp9	447	481	351	369
ENSMUSG00000032212.10|Sltm	2824	3423	3009	3095
ENSMUSG00000032215.15|Rsl24d1	1691	1934	2587	2616
ENSMUSG00000032216.14|Nedd4	46885	52266	45560	49399
ENSMUSG00000032217.13|Rnf111	1834	2162	1575	1613
ENSMUSG00000032218.7|Ccnb2	774	888	475	620
ENSMUSG00000032220.10|Myo1e	1643	1833	1747	1960
ENSMUSG00000032221.14|Mns1	119	121	70	101
ENSMUSG00000032226.5|Gcnt3	886	1056	552	751
ENSMUSG00000032228.16|Tcf12	3923	4385	2719	2755
ENSMUSG00000032231.14|Anxa2	47006	48343	46521	49395
ENSMUSG00000032232.14|Cgnl1	5350	5767	3756	4213
ENSMUSG00000032235.15|Ice2	733	795	763	711
ENSMUSG00000032239.10|Rp9	596	662	501	558
ENSMUSG00000032244.9|Fem1b	5538	6289	4458	4958
ENSMUSG00000032245.12|Cln6	248	284	248	334
ENSMUSG00000032246.14|Calml4	234	287	213	251
ENSMUSG00000032249.14|Anp32a	4122	4383	3759	4305
ENSMUSG00000032251.12|Irak1bp1	65	96	85	103
ENSMUSG00000032252.14|Glce	3702	4155	1888	2044
ENSMUSG00000032253.13|Phip	1852	2201	1737	1865
ENSMUSG00000032254.10|Kif23	2421	2802	1833	2157
ENSMUSG00000032258.15|Lca5	221	230	80	136
ENSMUSG00000032261.16|Sh3bgrl2	2634	3086	1189	1236
ENSMUSG00000032263.14|Bckdhb	98	162	86	110
ENSMUSG00000032264.9|Zw10	817	832	705	812
ENSMUSG00000032267.8|Usp28	610	716	575	643
ENSMUSG00000032271.13|Nnmt	36	45	4	4
ENSMUSG00000032278.11|Paqr5	566	640	368	423
ENSMUSG00000032279.11|Idh3a	1659	1919	1730	1827
ENSMUSG00000032280.16|Tle3	4865	4734	5431	5650
ENSMUSG00000032281.11|Acsbg1	2777	2859	1032	1049
ENSMUSG00000032285.15|Dnaja4	52	69	2	6
ENSMUSG00000032288.9|Imp3	465	485	395	498
ENSMUSG00000032289.15|Thsd4	2920	3128	2773	3115
ENSMUSG00000032290.7|Ptpn9	1647	1793	1195	1281
ENSMUSG00000032293.8|Ireb2	3004	3658	2417	2756
ENSMUSG00000032294.17|Pkm	46957	45937	41741	48744
ENSMUSG00000032295.15|Man2c1	813	789	493	613
ENSMUSG00000032298.13|Neil1	127	178	114	122
ENSMUSG00000032299.10|Commd4	625	603	530	590
ENSMUSG00000032300.7|1700017B05Rik	3216	3326	2822	3087
ENSMUSG00000032301.13|Psma4	2583	2979	2190	2465
ENSMUSG00000032305.15|Fam219b	554	571	477	513
ENSMUSG00000032306.14|Mpi	744	684	686	746
ENSMUSG00000032307.16|Ube2q2	1459	1780	1207	1318
ENSMUSG00000032308.9|Ulk3	550	557	461	492
ENSMUSG00000032309.15|Fbxo22	989	1206	814	846
ENSMUSG00000032311.17|Nrg4	82	92	97	137
ENSMUSG00000032312.7|Csk	1214	1143	1129	1330
ENSMUSG00000032314.14|Etfa	2812	3256	2169	2405
ENSMUSG00000032316.8|Clk3	1322	1336	1394	1424
ENSMUSG00000032320.7|Rcn2	1543	1865	1410	1691
ENSMUSG00000032322.14|Pstpip1	48	55	20	28
ENSMUSG00000032324.11|Tspan3	1173	1405	1132	1344
ENSMUSG00000032327.14|Stra6	2713	2647	8293	9478
ENSMUSG00000032328.12|Tmem30a	3518	4344	3346	3548
ENSMUSG00000032329.4|Hmg20a	1220	1387	1063	1177
ENSMUSG00000032330.7|Cox7a2	1285	1300	1276	1378
ENSMUSG00000032333.6|Stoml1	419	520	405	436
ENSMUSG00000032336.17|Nptn	3804	4421	3207	3515
ENSMUSG00000032340.8|Neo1	6814	7400	5523	5705
ENSMUSG00000032342.13|Mto1	367	395	302	333
ENSMUSG00000032344.17|Cgas	189	231	192	183
ENSMUSG00000032348.6|Gsta4	6081	7071	7095	8430
ENSMUSG00000032349.13|Elovl5	3137	3811	2864	3201
ENSMUSG00000032350.9|Gclc	4400	4915	6058	6883
ENSMUSG00000032352.16|Lrrc1	604	726	453	527
ENSMUSG00000032353.9|Tmed3	587	615	908	999
ENSMUSG00000032357.12|Tinag	24	29	133	139
ENSMUSG00000032359.14|Ctsh	1262	1398	2918	3250
ENSMUSG00000032363.15|Adamts7	34	40	9	13
ENSMUSG00000032366.15|Tpm1	14179	16603	13688	14292
ENSMUSG00000032369.13|Plscr1	11082	11516	15454	15934
ENSMUSG00000032370.8|Lactb	234	258	286	318
ENSMUSG00000032372.14|Plscr2	233	281	129	144
ENSMUSG00000032373.15|Car12	389	422	179	225
ENSMUSG00000032374.14|Plod2	1086	1356	779	838
ENSMUSG00000032375.15|Aph1b	115	163	136	128
ENSMUSG00000032376.12|Usp3	1392	1605	1576	1712
ENSMUSG00000032377.8|Plscr4	564	769	382	496
ENSMUSG00000032381.5|Ciao2a	1383	1610	1349	1526
ENSMUSG00000032382.14|Snx1	1914	2166	2015	2368
ENSMUSG00000032383.7|Ppib	5659	5979	4775	5187
ENSMUSG00000032384.16|Csnk1g1	1135	1283	836	874
ENSMUSG00000032386.15|Trip4	1044	1143	800	870
ENSMUSG00000032387.15|Rbpms2	328	333	200	178
ENSMUSG00000032388.7|Spg21	1719	1933	1162	1393
ENSMUSG00000032392.11|Parp16	204	248	157	161
ENSMUSG00000032393.15|Dpp8	2480	2877	1922	2171
ENSMUSG00000032396.17|Dis3l	856	913	741	747
ENSMUSG00000032397.7|Tipin	1346	1683	1074	1098
ENSMUSG00000032398.7|Snapc5	210	245	202	256
ENSMUSG00000032399.8|Rpl4	31485	33337	25268	29502
ENSMUSG00000032400.18|Zwilch	1606	1835	1231	1297
ENSMUSG00000032402.12|Smad3	4906	4930	4144	4593
ENSMUSG00000032403.8|2300009A05Rik	81	93	95	78
ENSMUSG00000032405.10|Pias1	849	962	945	999
ENSMUSG00000032407.14|U2surp	2239	2601	2100	2300
ENSMUSG00000032409.15|Atr	1572	1667	1315	1428
ENSMUSG00000032410.13|Xrn1	1305	1521	938	1055
ENSMUSG00000032411.15|Tfdp2	1500	1699	1008	1227
ENSMUSG00000032412.8|Atp1b3	1801	2076	2304	2468
ENSMUSG00000032413.12|Rasa2	1731	1984	1834	1876
ENSMUSG00000032415.14|Ube2cbp	111	102	99	91
ENSMUSG00000032418.15|Me1	13681	15309	13316	15325
ENSMUSG00000032420.8|Nt5e	4081	4905	2382	2630
ENSMUSG00000032422.17|Snx14	791	991	651	692
ENSMUSG00000032423.12|Syncrip	8503	9858	7674	8188
ENSMUSG00000032425.15|Zfp949	206	224	118	129
ENSMUSG00000032431.6|Crtap	942	1086	933	1093
ENSMUSG00000032434.9|Cmtm6	1607	1784	1687	1769
ENSMUSG00000032435.9|Dync1li1	2918	3390	2550	2746
ENSMUSG00000032436.17|Cmtm7	582	633	614	689
ENSMUSG00000032437.10|Stt3b	4137	4724	3742	4214
ENSMUSG00000032440.13|Tgfbr2	3460	3790	3379	3639
ENSMUSG00000032449.13|Slc25a36	1870	2186	1752	1876
ENSMUSG00000032454.9|Rbp2	121	84	165	209
ENSMUSG00000032456.13|Nmnat3	211	231	282	310
ENSMUSG00000032458.6|Copb2	4540	4947	4093	4529
ENSMUSG00000032459.9|Mrps22	538	738	418	417
ENSMUSG00000032462.14|Pik3cb	1036	1221	853	861
ENSMUSG00000032463.10|Faim	413	476	366	434
ENSMUSG00000032468.11|Armc8	1163	1314	1040	1047
ENSMUSG00000032469.12|Dbr1	563	620	584	577
ENSMUSG00000032470.17|Mras	493	517	824	899
ENSMUSG00000032473.13|Cldn18	5194	6084	4793	5276
ENSMUSG00000032475.15|Nck1	851	1082	1073	1141
ENSMUSG00000032477.14|Cdc25a	854	952	892	871
ENSMUSG00000032478.14|Nme6	533	527	385	423
ENSMUSG00000032479.15|Map4	6480	7036	5092	5539
ENSMUSG00000032480.17|Dhx30	1562	1502	1248	1340
ENSMUSG00000032481.17|Smarcc1	4127	4712	3223	3585
ENSMUSG00000032482.9|Cspg5	26	38	7	21
ENSMUSG00000032485.14|Scap	1739	1675	1574	1711
ENSMUSG00000032487.8|Ptgs2	11715	12941	9144	9115
ENSMUSG00000032495.8|Lrrc2	75	72	201	198
ENSMUSG00000032496.7|Ltf	1231	1040	1674	1884
ENSMUSG00000032497.17|Lrrfip2	1994	2095	1490	1478
ENSMUSG00000032498.9|Mlh1	518	554	486	471
ENSMUSG00000032501.9|Trib1	1881	2072	4891	5176
ENSMUSG00000032502.8|Stac	114	140	91	102
ENSMUSG00000032504.15|Pdcd6ip	6339	7367	5598	6335
ENSMUSG00000032507.15|Fbxl2	346	367	213	257
ENSMUSG00000032508.8|Myd88	665	693	656	705
ENSMUSG00000032511.17|Scn5a	34	41	2	1
ENSMUSG00000032512.7|Wdr48	2226	2552	2048	2226
ENSMUSG00000032513.8|Gorasp1	355	419	288	331
ENSMUSG00000032515.8|Csrnp1	364	364	502	433
ENSMUSG00000032518.6|Rpsa	45158	43350	34928	39518
ENSMUSG00000032519.11|Slc25a38	254	284	210	243
ENSMUSG00000032525.15|Nktr	3290	3911	2739	2753
ENSMUSG00000032526.11|Ss18l2	348	447	265	295
ENSMUSG00000032527.13|Pccb	257	313	324	360
ENSMUSG00000032531.15|Amotl2	3284	3945	3121	3072
ENSMUSG00000032534.18|Cep63	396	406	340	341
ENSMUSG00000032536.11|Trak1	1032	1128	893	960
ENSMUSG00000032540.16|Abhd5	411	439	345	376
ENSMUSG00000032547.12|Ryk	2030	2193	1734	1862
ENSMUSG00000032548.14|Slco2a1	3145	3357	3171	3620
ENSMUSG00000032549.7|Rab6b	412	478	128	173
ENSMUSG00000032551.7|1110059G10Rik	118	143	130	151
ENSMUSG00000032553.14|Srprb	1968	1937	1773	1872
ENSMUSG00000032554.15|Trf	9416	9722	13987	17440
ENSMUSG00000032555.10|Topbp1	3726	4324	2911	3225
ENSMUSG00000032557.13|Uba5	1235	1432	1050	1037
ENSMUSG00000032558.19|Nphp3	34	37	65	72
ENSMUSG00000032560.14|Dnajc13	4396	5046	3231	3442
ENSMUSG00000032562.13|Gnai2	5231	5623	4997	5479
ENSMUSG00000032563.16|Mrpl3	1208	1411	953	1158
ENSMUSG00000032565.9|Nudt16	104	128	80	106
ENSMUSG00000032567.16|Aste1	181	202	161	166
ENSMUSG00000032570.17|Atp2c1	1399	1566	1066	1226
ENSMUSG00000032571.14|Pik3r4	595	605	452	538
ENSMUSG00000032575.16|Manf	1996	2387	1706	1699
ENSMUSG00000032577.16|Mapkapk3	574	652	262	310
ENSMUSG00000032578.7|Cish	123	118	81	75
ENSMUSG00000032579.14|Hemk1	248	274	192	230
ENSMUSG00000032580.12|Rbm5	2807	3204	2545	2788
ENSMUSG00000032582.14|Rbm6	2250	2566	1857	2083
ENSMUSG00000032583.7|Mon1a	188	166	161	176
ENSMUSG00000032584.12|Mst1r	364	369	193	226
ENSMUSG00000032586.9|Traip	568	615	375	479
ENSMUSG00000032589.14|Bsn	95	111	83	101
ENSMUSG00000032590.14|Apeh	993	1055	863	1042
ENSMUSG00000032591.15|Mst1	42	30	28	33
ENSMUSG00000032594.11|Ip6k1	1693	1805	1765	1785
ENSMUSG00000032596.14|Uba7	202	222	305	348
ENSMUSG00000032598.8|Nckipsd	334	302	329	332
ENSMUSG00000032599.12|Ip6k2	1019	1182	763	859
ENSMUSG00000032601.13|Prkar2a	2513	2812	1894	1942
ENSMUSG00000032602.6|Slc25a20	564	578	418	470
ENSMUSG00000032604.16|Qars	2393	2520	1836	2298
ENSMUSG00000032606.7|Nicn1	546	598	440	537
ENSMUSG00000032607.12|Amt	106	113	58	67
ENSMUSG00000032609.12|Klhdc8b	132	160	193	211
ENSMUSG00000032612.14|Usp4	2961	3148	2407	2594
ENSMUSG00000032615.14|Nt5m	362	390	334	396
ENSMUSG00000032621.8|Srek1	1570	1899	1559	1624
ENSMUSG00000032624.16|Eml4	4019	4568	4949	5674
ENSMUSG00000032625.14|Thsd7a	85	91	45	51
ENSMUSG00000032633.12|Flcn	1402	1581	1501	1465
ENSMUSG00000032637.15|Atxn2l	6703	7647	7133	7217
ENSMUSG00000032640.10|Chsy1	842	913	670	763
ENSMUSG00000032641.18|Gpr19	254	294	279	254
ENSMUSG00000032643.12|Fhl3	744	698	705	772
ENSMUSG00000032652.13|Crebl2	861	867	769	759
ENSMUSG00000032656.14|March3	74	93	53	57
ENSMUSG00000032657.15|Fam189b	528	530	471	563
ENSMUSG00000032661.9|Oas3	154	141	230	303
ENSMUSG00000032666.16|1700025G04Rik	136	159	58	61
ENSMUSG00000032667.17|Pon2	1217	1410	730	723
ENSMUSG00000032673.5|Prorsd1	243	319	206	264
ENSMUSG00000032688.9|Malt1	451	563	1009	1117
ENSMUSG00000032690.16|Oas2	42	37	23	37
ENSMUSG00000032702.16|Kank1	25	26	0	0
ENSMUSG00000032705.9|Exd2	555	573	569	585
ENSMUSG00000032712.16|Resf1	3848	4708	7187	7940
ENSMUSG00000032714.6|Syde1	1769	1905	1564	1605
ENSMUSG00000032715.9|Trib3	4692	5070	3174	3468
ENSMUSG00000032718.4|Mansc1	68	89	80	110
ENSMUSG00000032724.5|Abtb2	187	183	210	212
ENSMUSG00000032727.14|Mier3	939	1055	1129	1165
ENSMUSG00000032733.6|Snx33	851	881	571	688
ENSMUSG00000032737.13|Inppl1	2110	2343	2155	2344
ENSMUSG00000032740.16|Ccdc88a	1376	1623	769	796
ENSMUSG00000032741.9|Tpcn1	1343	1541	1618	1801
ENSMUSG00000032743.15|D430042O09Rik	579	575	469	559
ENSMUSG00000032745.18|Gpbp1	3628	4095	3151	3274
ENSMUSG00000032754.14|Slc8b1	449	433	547	597
ENSMUSG00000032757.6|Bet1	906	1067	839	1007
ENSMUSG00000032763.11|Ilvbl	609	687	633	765
ENSMUSG00000032776.9|Mctp2	26	38	16	21
ENSMUSG00000032777.9|Gtf3c1	1995	2098	2293	2472
ENSMUSG00000032782.19|Cntrob	609	579	390	541
ENSMUSG00000032783.9|Troap	424	472	459	539
ENSMUSG00000032786.16|Alas1	718	731	779	825
ENSMUSG00000032788.15|Pdxk	1913	2038	5108	5653
ENSMUSG00000032802.8|Srxn1	814	883	600	698
ENSMUSG00000032803.15|Cdv3	8039	9285	6989	7082
ENSMUSG00000032806.13|Slc10a3	345	359	537	610
ENSMUSG00000032812.18|Arap1	1186	1200	1058	1174
ENSMUSG00000032815.16|Fanca	475	575	351	437
ENSMUSG00000032816.15|Igdcc4	280	322	326	337
ENSMUSG00000032826.17|Ank2	132	143	67	84
ENSMUSG00000032834.11|Pwp2	1385	1408	1540	1497
ENSMUSG00000032839.13|Trpc1	291	326	357	345
ENSMUSG00000032840.7|2410131K14Rik	1033	1033	953	1040
ENSMUSG00000032842.13|Abcc10	429	545	445	503
ENSMUSG00000032846.10|Zswim6	817	899	896	836
ENSMUSG00000032849.14|Abcc4	4933	5757	4801	5343
ENSMUSG00000032850.16|Rnft2	40	45	19	36
ENSMUSG00000032854.12|Ugt8a	38	41	15	9
ENSMUSG00000032855.6|Pkd1	2038	2065	2335	2598
ENSMUSG00000032860.5|P2ry2	279	253	497	488
ENSMUSG00000032867.8|Fbxw8	1948	1951	1959	2140
ENSMUSG00000032869.15|Psmf1	857	817	1029	1136
ENSMUSG00000032870.8|Smap2	1096	1255	1598	1663
ENSMUSG00000032872.16|Cyb5r4	1033	1237	787	942
ENSMUSG00000032875.8|Arhgef17	1535	1622	1876	2020
ENSMUSG00000032883.15|Acsl3	1553	1832	1733	2038
ENSMUSG00000032889.6|Gm6685	47	45	47	44
ENSMUSG00000032892.14|Rangrf	308	358	313	345
ENSMUSG00000032897.17|Nfyc	959	938	1237	1318
ENSMUSG00000032898.9|Fbxo21	739	766	777	846
ENSMUSG00000032899.14|Styk1	1261	1370	1251	1408
ENSMUSG00000032902.1|Slc16a1	4539	5466	5420	5454
ENSMUSG00000032905.5|Atg12	1546	1781	1131	1216
ENSMUSG00000032908.9|Sgpp2	371	441	698	1000
ENSMUSG00000032913.13|Lrig2	822	1015	834	898
ENSMUSG00000032932.15|Hspa13	2120	2441	2434	2637
ENSMUSG00000032936.13|Camkv	36	65	26	19
ENSMUSG00000032939.14|Nup93	2184	2337	2307	2371
ENSMUSG00000032952.11|Ap4b1	933	1061	868	968
ENSMUSG00000032959.12|Pebp1	4928	5887	4665	5178
ENSMUSG00000032965.11|Ift57	498	555	667	780
ENSMUSG00000032966.14|Fkbp1a	9886	11416	10039	10955
ENSMUSG00000032977.9|Fam207a	847	880	923	996
ENSMUSG00000032997.16|Chpf	814	993	1040	1187
ENSMUSG00000032998.16|Foxj3	1929	2199	1643	1692
ENSMUSG00000033004.15|Mycbp2	2649	2745	2238	2364
ENSMUSG00000033009.15|Ogfod1	675	726	563	576
ENSMUSG00000033014.12|Trim33	4509	5332	3881	3958
ENSMUSG00000033016.16|Nfatc1	788	877	933	1035
ENSMUSG00000033020.7|Polr2f	1095	1028	1284	1265
ENSMUSG00000033021.16|Gmppa	729	645	562	667
ENSMUSG00000033029.12|1700088E04Rik	47	37	79	86
ENSMUSG00000033031.13|Cip2a	2373	2772	2253	2700
ENSMUSG00000033036.9|Gm7879	31	27	17	20
ENSMUSG00000033039.10|Micall1	1946	2098	1833	1831
ENSMUSG00000033047.5|Eif3l	5880	6327	6242	7075
ENSMUSG00000033054.7|Npat	1411	1692	1216	1242
ENSMUSG00000033055.12|Ankrd54	832	808	972	1051
ENSMUSG00000033059.7|Pygb	1787	1857	2138	2551
ENSMUSG00000033060.15|Lmo7	10739	11981	8113	8426
ENSMUSG00000033065.14|Pfkm	1168	1215	1059	1340
ENSMUSG00000033068.16|Entpd6	309	335	396	379
ENSMUSG00000033075.17|Senp1	1414	1618	1582	1660
ENSMUSG00000033083.16|Tbc1d4	137	177	89	132
ENSMUSG00000033088.19|Triobp	1225	1338	1124	1240
ENSMUSG00000033096.7|Apmap	890	1000	810	871
ENSMUSG00000033099.10|Nol12	759	787	720	749
ENSMUSG00000033102.15|Cdc14b	696	738	502	553
ENSMUSG00000033105.12|Lss	1210	1321	1145	1365
ENSMUSG00000033106.6|Slc7a6os	960	1185	1032	984
ENSMUSG00000033111.16|3830406C13Rik	173	210	143	167
ENSMUSG00000033114.11|Slc35d2	275	325	217	226
ENSMUSG00000033124.15|Atg9a	1012	1033	899	965
ENSMUSG00000033126.5|Ybey	141	133	139	135
ENSMUSG00000033128.9|Gga1	1754	1940	1934	2165
ENSMUSG00000033147.16|Slc22a15	228	235	280	288
ENSMUSG00000033149.17|Phldb2	11293	12848	9985	10301
ENSMUSG00000033157.17|Abhd10	488	581	485	482
ENSMUSG00000033159.14|Cnppd1	2162	2230	1790	1877
ENSMUSG00000033161.10|Atp1a1	14234	15483	20490	23171
ENSMUSG00000033166.11|Dis3	2585	3035	2117	2279
ENSMUSG00000033170.14|Card10	1634	1884	2808	2786
ENSMUSG00000033184.14|Tmed7	4049	4759	3572	3916
ENSMUSG00000033186.9|Mzt1	1754	2154	1434	1479
ENSMUSG00000033207.7|Mamdc2	134	124	116	102
ENSMUSG00000033209.17|Ttc28	175	172	128	167
ENSMUSG00000033216.9|Eefsec	571	609	601	674
ENSMUSG00000033220.7|Rac2	1	2	60	46
ENSMUSG00000033222.16|Ttf2	825	926	723	817
ENSMUSG00000033228.8|Scaf11	4609	5293	4624	4983
ENSMUSG00000033233.17|Trim45	209	233	144	159
ENSMUSG00000033237.19|Arid2	1832	1922	2129	2174
ENSMUSG00000033249.10|Hsf4	125	169	146	137
ENSMUSG00000033253.18|Szt2	897	973	1001	1066
ENSMUSG00000033256.14|Shf	513	514	662	831
ENSMUSG00000033257.14|Ttll4	2291	2488	1956	2026
ENSMUSG00000033272.12|Slc35a4	1914	2026	2283	2333
