© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
cholesterol	 	chemical - endogenous mammalian	 	-0.788	1.40E-04	AGT,AQP9,AREG,ATF4,Ces2a,IHH,SLC28A3,SLC7A5	 
dexamethasone	 	chemical drug	 	1.610	1.56E-04	ADGRG3,AGT,ALDOB,AREG,ATF4,C4bp,CD177,CYP2C9,DIO1,GDF15,GPR141,GSTP1,IGFBP3,IHH,MELTF,MGAM,MMP3,PIK3CD,PLD4,Ppbp,PPP1R14D,RBP2,SERPINE1,SERPINE2,SNAI2,SOCS2,Sult1d1,TMPRSS4	59 (16)
paclitaxel	 	chemical drug	 	0.000	1.58E-04	AREG,ATF4,CYP2C9,GDF15,IGFBP3,IHH,SNAI2,TFPI,WNT4	52 (14)
ERK1/2	 	group	 	-1.767	1.61E-04	AREG,CCN4,HAS2,IGFBP3,IL19,MMP3,NOX1,SERPINE1,SNAI2	63 (17)
ESR1	0.295	ligand-dependent nuclear receptor	 	-0.156	1.72E-04	AGT,AQP9,AREG,BCAT1,CPM,CYP4A22,GDF15,GJB2,HMGCS2,IGFBP3,KRT13,OTUB2,PADI4,PYCR1,SCAND1,SERPINE1,SLC7A5,SNAI2,SOCS2,TRIB3,WNT4	57 (18)
NKX2-1	 	transcription regulator	 	 	1.77E-04	AGT,AREG,FAM3D,SERPINE1,SNAI2,Sprr2a1/Sprr2a2,WNT4	 
gentamicin	 	chemical drug	 	-1.238	1.81E-04	2610528A11Rik,ACSM3,CYP2C9,DIO1,GDF15,GJB2,IGFBP3,Pzp	 
EREG	-0.825	growth factor	 	 	1.93E-04	AREG,HAS2,PGF	 
CDH1	-0.169	other	 	0.492	2.03E-04	CDH3,IGFBP3,KRT13,MMP3,SNAI2	48 (16)
TFRC	0.156	transporter	 	1.342	2.14E-04	ATF4,CHAC1,PLD4,SERPINB8,SOX11	 
homocysteine	 	chemical - endogenous mammalian	 	0.080	2.26E-04	ADM2,ATF4,PGF,SNAI2,TRIB3	 
TGFB1	-0.049	growth factor	Inhibited	-2.070	2.33E-04	ACSM3,ALDOB,AQP9,AREG,ATF4,CCN4,DDR2,GDF15,GJB2,GRHL1,HAS2,IGFBP3,MAPK13,MELTF,MMP3,PIK3CD,PPP1R14D,PPP1R1B,PSPH,SERPINE1,SERPINE2,SLC7A5,SNAI2,TFPI,WNT4	59 (19)
SBDS	-0.009	other	 	 	2.52E-04	CHAC1,CTH,LGR5,SNAI2,TRIB3	7 (2)
FOS	-0.090	transcription regulator	 	-0.973	2.60E-04	AGT,CTH,GSTP1,HAS2,KRT13,MMP3,MPZL2,S100a7a,SERPINE1,SERPINE2,SNAI2,WNT4	48 (10)
dextran sulfate	 	chemical drug	 	-0.218	2.93E-04	AGT,CD177,MMP3,NLRP6,NOX1,PGF,PIGR,SERPINE1	36 (12)
EHF	0.093	transcription regulator	 	-1.342	3.43E-04	CDH3,FOXN1,MMP3,SERPINE1,TFPI	 
NCOA1	0.237	transcription regulator	 	-0.314	3.80E-04	CYP2C9,DIO1,GJB2,HAS2,LECT2,SERPINE1	 
carbonyl cyanide m-chlorophenyl hydrazone	 	chemical toxicant	 	-1.000	3.92E-04	AGT,ATF4,GDF15,SERPINE1	22 (5)
norethindrone acetate	 	chemical drug	 	 	3.99E-04	SERPINE1,TFPI	 
MAP3K3	-0.122	kinase	 	 	4.66E-04	HAS2,SNAI2,STEAP4	 
aldosterone	 	chemical - endogenous mammalian	 	-0.009	4.70E-04	AGT,HAS2,NOX1,PGF,PIK3CD,SERPINE1	46 (15)
17-alpha-ethinylestradiol	 	chemical drug	 	0.000	4.86E-04	AQP9,ATF4,BCAT1,GDF15,Sprr2a1/Sprr2a2,WNT4	40 (6)
10E,12Z-octadecadienoic acid	 	chemical - endogenous mammalian	 	-1.387	5.56E-04	ACSM3,ATF4,GDF15,IGFBP3,PODN,TRIB3	 
INHA	 	growth factor	Activated	2.219	5.70E-04	AREG,CCN4,HAS2,PIK3CD,SERPINE1	 
BICC1	0.174	other	 	 	5.96E-04	AREG,PIGR	 
AMER1	-0.059	other	 	 	5.96E-04	AREG,LGR5	 
GJA8	 	transporter	 	 	5.96E-04	ATF4,TRIB3	 
NET1	0.173	other	 	 	5.96E-04	SERPINE1,SNAI2	28 (7)
glucocorticoid	 	chemical drug	 	0.184	6.41E-04	AGT,GABRP,HAS2,IGFBP3,KCNJ11,MMP3,PIGR,SERPINE1	49 (17)
progesterone	 	chemical - endogenous mammalian	 	-0.773	6.53E-04	AREG,BCAT1,CKMT1A/CKMT1B,CLCA1,GJB2,IGFBP3,IHH,LGR5,MMP3,PIGR,PPP1R1B,WNT4	19 (3)
TWIST1	0.271	transcription regulator	 	-1.032	6.76E-04	CCN4,DDR2,FCGBP,PAMR1,SLC28A3,SNAI2	 
SPARC	-0.798	other	 	-1.400	6.76E-04	CDH3,CIART,SERPINE1,SNAI2,SYDE2	30 (5)
USF2	0.161	transcription regulator	 	 	7.06E-04	AGT,IGFBP3,PIGR,SERPINE1	 
SMARCA4	0.020	transcription regulator	 	-0.577	7.30E-04	AGT,AREG,CPM,GSTP1,IL15RA,MAPK13,MELTF,SERPINB8,SERPINE1,SERPINE2,SLAMF9,SOCS2	 
bisindolylmaleimide I	 	chemical - kinase inhibitor	 	0.156	7.34E-04	AGT,GDF15,HAS2,KCNJ11,SERPINE1	50 (15)
REN	 	peptidase	 	 	7.41E-04	AGT,CYP2C9,NOX1	24 (6)
troglitazone	 	chemical drug	 	-0.269	7.48E-04	AGT,ANGPTL6,CYP2C9,GDF15,KRT13,MMP3,SERPINE1,TMPRSS4,TRIB3	50 (15)
CHADL	-0.267	other	 	 	8.23E-04	IGFBP3,IHH,STEAP4	 
GNE	-0.317	kinase	 	 	8.31E-04	CHAC1,TRIB3	 
thenoyltrifluoroacetone	 	chemical reagent	 	 	8.31E-04	AGT,SERPINE1	41 (9)
OSM	 	cytokine	 	-1.402	8.45E-04	AQP9,CDH3,CPM,IGFBP3,IL15RA,MMP3,MPZL2,PGF,PIGR,SERPINB8,SERPINE1	18 (4)
arsenite	 	chemical toxicant	 	 	8.96E-04	ATF4,GSTP1,HAS2,SERPINE1,SNAI2	51 (16)
tosedostat	 	chemical drug	 	 	9.10E-04	CHAC1,CTH,TRIB3	 
PIK3CA	-0.089	kinase	 	 	9.42E-04	IL19,PIK3CD,SERPINE1,SNAI2	35 (10)
Insulin	 	group	 	0.051	9.49E-04	AGT,ALDOB,AQP9,CTH,CYP2C9,GSTP1,IGFBP3,MMP3,SERPINE1,WNT4	47 (11)
oleic acid	 	chemical - endogenous mammalian	 	-1.000	9.67E-04	AQP9,ATF4,GDF15,IGFBP3,SERPINE1	44 (12)
entinostat	 	chemical drug	 	-1.067	9.95E-04	IGFBP3,LGR5,MMP3,SERPINE1	49 (12)
HRAS	-0.073	enzyme	 	-1.129	1.02E-03	AREG,CALCRL,CDH3,GJB2,HAS2,MMP3,MUC13,PGF,SERPINE1,SERPINE2,SNAI2,SOCS2	52 (18)
EIF2AK4	0.159	kinase	 	 	1.10E-03	ATF4,CHAC1,PSPH	 
UDP	 	chemical - endogenous mammalian	 	 	1.10E-03	HAS2,SERPINE1	31 (7)
fingolimod phosphate	 	chemical - endogenous mammalian	 	 	1.10E-03	HAS2,SERPINE1	 
Retinoic acid-RAR-RXR	 	complex	 	 	1.10E-03	IGFBP3,RBP2	 
ponesimod	 	chemical drug	 	 	1.10E-03	HAS2,SERPINE1	 
levofloxacin	 	chemical drug	 	 	1.10E-03	HAS2,MMP3	 
HLX	0.007	transcription regulator	 	 	1.21E-03	AREG,GDF15,SEMA3G	 
heparin	 	chemical - endogenous mammalian	 	-0.068	1.23E-03	AREG,HAS2,IGFBP3,TFPI	46 (14)
E. coli serotype 0127B8 lipopolysaccharide	 	chemical - endogenous non-mammalian	 	-0.816	1.26E-03	AQP9,GJB2,HAS2,MMP3,PPP1R1B,SLC7A5	37 (6)
EGR1	-0.497	transcription regulator	Inhibited	-2.170	1.33E-03	AREG,GDF15,Ppbp,SERPINE1,SNAI2,WNT4	54 (13)
EGFR	0.047	kinase	 	-1.620	1.34E-03	AREG,HAS2,IGFBP3,MMP3,NOX1,SERPINE1,SERPINE2,SNAI2,WNT4	62 (17)
FOSL1	-0.614	transcription regulator	 	-1.686	1.36E-03	MMP3,SERPINE1,SERPINE2,SNAI2	45 (10)
SCUBE3	 	other	 	 	1.41E-03	SERPINE1,SNAI2	 
LONP1	-0.538	peptidase	Activated	2.000	1.50E-03	ALDH1L2,ATF4,CHAC1,GPT2	 
TLR3	0.331	transmembrane receptor	 	-0.218	1.56E-03	CLCA1,CPM,Csn1s1,CTH,IL19,PIK3CD,SERPINE1	 
Vegf	 	group	 	-0.350	1.57E-03	CALCRL,GJB2,HMGCS2,IGFBP3,IHH,IL15RA,PGF,PPP1R1B,SOCS2,Sult1d1	36 (5)
hydrogen peroxide	 	chemical - endogenous mammalian	 	-0.402	1.68E-03	AGT,GDF15,HMGCS2,MMP3,NOX1,PGF,SERPINE1,SNAI2,TRIB3,WNT4	54 (16)
RAS	 	group	 	 	1.70E-03	GSTP1,NOX1,SERPINE1,SERPINE2,SNAI2	52 (18)
ANKRD17	-0.031	other	 	 	1.76E-03	ARID5A,U90926	 
NMNAT1	0.094	enzyme	 	 	1.76E-03	SOCS2,TFPI	 
premarin	 	chemical drug	 	 	1.76E-03	AREG,SERPINE1	31 (7)
USF1	0.001	transcription regulator	 	 	1.81E-03	AGT,IGFBP3,PIGR,SERPINE1	 
TGFA	-0.074	growth factor	 	-1.087	1.81E-03	AREG,GJB2,GSTP1,SERPINE1	41 (7)
NR2F1	0.255	ligand-dependent nuclear receptor	 	 	1.96E-03	AGT,GDF15,RBP2	 
memantine	 	chemical drug	 	 	1.96E-03	CYP2C9,CYP4A22,GSTP1	 
fulvestrant	 	chemical drug	 	-0.115	2.00E-03	AREG,ATF4,GJB2,GSTP1,SLC7A5,SNAI2,WNT4	51 (15)
deferoxamine	 	chemical drug	 	-0.640	2.01E-03	GDF15,IGFBP3,PLD4,SERPINB8,SERPINE1,SERPINE2	 
RELA	0.146	transcription regulator	 	-0.468	2.03E-03	AGT,CYP2C9,GDF15,HAS2,IL15RA,LGR5,MMP3,NOX1,SERPINE2	51 (11)
phenobarbital	 	chemical drug	 	0.952	2.06E-03	Ces2a,CYP2C9,DIO1,GSTP1	15 (4)
LY294002	 	chemical - kinase inhibitor	 	-0.485	2.08E-03	ACSM3,ATF4,GDF15,GSTP1,HAS2,IGFBP3,IL19,SERPINE1,SLCO1A2,SOCS2	50 (13)
DACH1	 	transcription regulator	 	 	2.11E-03	IGFBP3,MMP3,SERPINE1	9 (3)
L-serine	 	chemical - endogenous mammalian	 	 	2.14E-03	ATF4,PSPH	 
MTF1	-0.006	transcription regulator	 	 	2.14E-03	MMP3,PGF	 
PDE3B	0.344	enzyme	 	 	2.14E-03	SERPINE1,TRIB3	 
FOXD1	-0.081	transcription regulator	 	 	2.14E-03	PGF,SERPINE1	 
ACE	0.536	peptidase	 	 	2.14E-03	AGT,SERPINE1	29 (10)
ELK3	0.094	transcription regulator	 	 	2.14E-03	MMP3,SERPINE1	34 (7)
Ncoa6	-0.124	transcription regulator	 	 	2.14E-03	AREG,SERPINE1	 
PIK3R1	0.160	kinase	 	0.000	2.25E-03	ATF4,PIK3CD,SERPINE1,TRIB3	32 (8)
U0126	 	chemical - kinase inhibitor	Activated	2.130	2.26E-03	AGT,AREG,ATF4,CCN4,GDF15,IHH,MMP3,NOX1,SERPINE1,SNAI2	53 (18)
Pka	 	complex	 	-0.447	2.26E-03	AREG,HAS2,MMP3,NOX1,PPP1R1B	49 (16)
LGR4	0.277	transmembrane receptor	 	 	2.27E-03	AQP9,LECT2,WNT4	 
AGTR1	 	G-protein coupled receptor	 	 	2.27E-03	AGT,GSTP1,SERPINE1	32 (10)
H-7	 	chemical - kinase inhibitor	 	 	2.27E-03	AREG,MMP3,SERPINE1	34 (10)
tunicamycin	 	chemical - endogenous non-mammalian	 	-1.484	2.38E-03	ATF4,CHAC1,GPT2,IHH,MMP3,PADI4	 
TP53	0.013	transcription regulator	Inhibited	-2.301	2.50E-03	AREG,ATF4,BCAT1,CALCRL,CDH3,CKMT1A/CKMT1B,FAT2,GDF15,GPR160,GSTP1,HAS2,IGFBP3,LGR5,MMP3,MPZL2,PADI4,PIK3CD,SERPINE1,SERPINE2,SLC7A5,SNAI2,SOCS2,TRIB3	57 (14)
NCOA3	0.087	transcription regulator	 	 	2.55E-03	GJB2,IGFBP3,LECT2,OTUB2	 
STAT1/3/5 dimer	 	complex	 	 	2.56E-03	MMP3,SOCS2	 
VGLL3	 	other	 	 	2.56E-03	MMP3,SNAI2	 
trientine	 	chemical drug	 	 	2.56E-03	IGFBP3,SERPINE1	 
tamoxifen	 	chemical drug	 	-0.314	2.59E-03	AQP9,ATF4,GDF15,GJB2,HAS2,IGFBP3,SLC7A5	57 (15)
2-methoxyestradiol	 	chemical - endogenous mammalian	 	 	2.60E-03	AREG,Csn1s1,SERPINE2	 
ARHGAP21	-0.003	other	 	 	2.60E-03	ARID5A,IL15RA,U90926	 
Jnk	 	group	 	-0.796	2.67E-03	AGT,GDF15,IL19,MMP3,SERPINE1,SNAI2	54 (15)
6-hydroxydopamine	 	chemical toxicant	 	-1.176	2.76E-03	ATF4,MMP3,NOX1,TRIB3	22 (5)
TCF	 	group	 	 	2.76E-03	GPX2,IHH,LGR5,SERPINE1	22 (3)
NFkB (complex)	 	complex	 	-1.006	2.78E-03	AGT,DIO1,GDF15,HAS2,IL15RA,IL19,MMP3,SERPINE1,SLC7A5,SNAI2,TRIB3	49 (15)
NAMPT	-0.290	cytokine	 	 	2.78E-03	MMP3,SOCS2,TFPI	 
THRB	0.028	ligand-dependent nuclear receptor	 	0.242	2.92E-03	CCN4,DIO1,FOXN1,IGFBP3,SERPINE1,WNT4	 
FOXA2	0.096	transcription regulator	 	1.732	2.92E-03	ALDOB,CLCA1,CPM,CYP2C9,HMGCS2,KCNJ11	 
ZMPSTE24	-0.148	peptidase	 	 	2.97E-03	DIO1,IGFBP3,SOCS2	38 (7)
erlotinib	 	chemical drug	 	-1.715	2.99E-03	AREG,MMP3,NOX1,SERPINE1	50 (12)
IL1B	 	cytokine	 	-1.125	3.03E-03	ATF4,CYP2C9,DIO1,GDF15,HAS2,IGFBP3,IL15RA,IL19,MMP3,NOX1,PIGR,Ppbp,SERPINE1,SOCS2	47 (13)
EPAS1	0.072	transcription regulator	 	 	3.13E-03	AREG,CKMT1A/CKMT1B,IGFBP3,PGF,SERPINE1,SLC7A5	45 (12)
SP600125	 	chemical - kinase inhibitor	 	1.912	3.19E-03	CHAC1,CPM,MMP3,NOX1,PIK3CD,SERPINE1,TRIB3	46 (12)
AGT	1.176	growth factor	 	0.018	3.21E-03	AGT,CYP2C9,GSTP1,HAS2,IGFBP3,NOX1,PGF,SERPINE1,TFPI	45 (16)
TAF4	-0.119	transcription regulator	 	1.067	3.23E-03	AREG,CDH3,GJB2,MMP3	 
5-azacytidine	 	chemical drug	 	-0.600	3.38E-03	GDF15,GSTP1,SERPINB8,SLC7A5,SOX11	 
TP63	 	transcription regulator	 	-0.791	3.44E-03	AREG,CDH3,GPX2,IGFBP3,IHH,MPZL2,SERPINE1,SNAI2,WNT4	48 (15)
GATA2	 	transcription regulator	 	 	3.46E-03	AQP9,CD177,Cyp2c40 (includes others),GABRP,GPR141,KRT13,Ppbp,SLC18A1	 
ethanol	 	chemical - endogenous mammalian	 	-1.061	3.46E-03	ATF4,CYP2C9,CYP4A22,DDR2,MMP3,PPP1R1B,SERPINE1,TRIB3	42 (10)
Hnf3	 	group	 	 	3.50E-03	ALDOB,CYP2C9	 
GABBR1	0.046	G-protein coupled receptor	 	 	3.50E-03	ATF4,IHH	 
ACE2	 	peptidase	 	 	3.50E-03	AGT,SERPINE1	24 (6)
clasto-lactacystin beta-lactone	 	chemical - protease inhibitor	 	 	3.50E-03	ATF4,GSTP1	 
carbonyl cyanide p-(trifluoromethoxy)phenylhydrazone	 	chemical reagent	 	 	3.50E-03	CHAC1,PSPH	 
mannose	 	chemical - endogenous mammalian	 	 	3.50E-03	ATF4,HAS2	 
PD98059	 	chemical - kinase inhibitor	 	1.765	3.51E-03	AGT,AREG,ATF4,CDH3,HAS2,IGFBP3,MMP3,SERPINE1,SNAI2,SOCS2	52 (19)
JUN	0.439	transcription regulator	 	-1.313	3.54E-03	CHST4,GSTP1,IGFBP3,LGR5,MMP3,PADI4,SERPINE1,SNAI2,WNT4	48 (14)
MED1	0.006	transcription regulator	 	-0.762	3.57E-03	DIO1,GSTP1,HAS2,IGFBP3,OTUB2	32 (6)
BSG	-0.121	transporter	 	 	3.78E-03	ALDOB,MMP3,SERPINE1	51 (9)
Ap1	 	complex	 	 	3.87E-03	GSTP1,IGFBP3,MMP3,PADI4,SERPINE1	33 (5)
CEBPD	0.457	transcription regulator	 	 	3.88E-03	AGT,MMP3,NOX1,SNAI2	 
TNFAIP2	-0.052	other	 	 	4.02E-03	IL15RA,U90926	 
SLC2A1	-0.347	transporter	 	 	4.02E-03	ALDH1L2,SERPINE1	 
TGFBR3	 	kinase	 	 	4.02E-03	SERPINE1,SNAI2	42 (8)
TOPBP1	-0.082	other	 	 	4.02E-03	IGFBP3,MMP3	 
Mn(III)-tetrakis-(4-benzoic acid) porphyrin	 	chemical reagent	 	 	4.02E-03	AGT,SERPINE1	34 (11)
Ins1	 	other	 	-1.787	4.02E-03	AGT,GSTP1,IGFBP3,MELTF,MMP3,SERPINE1,SOCS2	39 (10)
tetradecanoylphorbol acetate	 	chemical drug	 	-1.896	4.02E-03	AGT,AREG,DIO1,FCGBP,GABRP,GDF15,GSTP1,HAS2,IGFBP3,MMP3,NOX1,RBP2,S100a7a,SERPINE1,SLC28A3,SNAI2	61 (17)
dihydrotestosterone	 	chemical - endogenous mammalian	 	-0.959	4.22E-03	AGT,AREG,CYP4A22,GSTP1,IGFBP3,MMP3,SERPINE2,SNAI2,TFPI,WNT4	69 (15)
IGFBP2	 	other	 	 	4.23E-03	GDF15,IGFBP3,LGR5	 
ARNTL	0.041	transcription regulator	 	 	4.23E-03	HMGCS2,IHH,RBP2	 
9,10-dimethyl-1,2-benzanthracene	 	chemical toxicant	 	 	4.23E-03	AREG,SERPINE1,SNAI2	39 (14)
TO-901317	 	chemical reagent	 	 	4.29E-03	C4bp,Ces2a,DIO1,GSTP1,HMGCS2,Sult1d1	 
actinomycin D	 	biologic drug	 	1.095	4.47E-03	AGT,ATF4,GSTP1,MMP3,RBP2,SERPINE1	54 (17)
enalapril	 	biologic drug	 	 	4.47E-03	AGT,GPX2,SERPINE1	 
SMAD4	0.051	transcription regulator	 	-1.556	4.56E-03	AREG,CDH3,HAS2,IHH,SERPINE1,SNAI2	32 (7)
bevacizumab	 	biologic drug	 	 	4.57E-03	PGF,SNAI2	 
mir-194	 	microRNA	 	 	4.57E-03	SLC7A5,SOCS2	 
S100A9	0.027	other	 	-1.067	4.62E-03	AREG,CDH3,CPM,GJB2,MMP3	 
bromodeoxyuridine	 	chemical drug	 	 	4.72E-03	GSTP1,IGFBP3,SERPINE1	32 (7)
ATF3	-0.633	transcription regulator	 	 	4.77E-03	ATF4,CHAC1,MMP3,SERPINE1	37 (6)
Creb	 	group	 	-1.709	4.85E-03	AREG,BCL2L15,CCN4,CTH,HAS2,P2RX3,PYCR1	 
norepinephrine	 	chemical - endogenous mammalian	 	-1.406	4.86E-03	GDF15,P2RX3,PADI4,PIGR,SERPINE1	 
Mapk	 	group	 	 	4.93E-03	MMP3,NOX1,PIGR,SNAI2	45 (15)
Esrra	0.107	transcription regulator	 	1.091	4.93E-03	AGT,ALDOB,IHH,PPP1R1B	 
ERK	 	group	Inhibited	-2.213	5.04E-03	AGT,AREG,GDF15,MMP3,SERPINE1,SNAI2	52 (16)
CD24	 	other	 	 	5.10E-03	CHAC1,GDF15,PHF10,TFPI	 
Smad2/3-Smad4	 	complex	 	 	5.16E-03	IGFBP3,SERPINE1	 
FKBP4	0.073	enzyme	 	 	5.16E-03	IHH,IL15RA	 
P2RY2	0.196	G-protein coupled receptor	 	 	5.16E-03	HAS2,SERPINE1	31 (7)
ITGB6	-0.393	other	 	 	5.16E-03	MMP3,SERPINE1	31 (7)
actinonin	 	chemical reagent	 	 	5.16E-03	CHAC1,PSPH	 
PDGF BB	 	complex	 	-1.011	5.35E-03	AREG,CTH,GDF15,MMP3,SERPINE1,SLCO1A2,TRIB3	54 (17)
plicamycin	 	chemical drug	 	1.067	5.44E-03	GJB2,PPP1R1B,SERPINE1,SERPINE2	20 (3)
LEPR	0.106	transmembrane receptor	 	 	5.48E-03	FYB1,IGFBP3,MMP3,SERPINE1,SOCS2	43 (17)
